field_id,days_since_harvest,residue_load_tons_per_ha,past_burn_history,days_until_next_sowing,distance_to_nearest_chc_km,avg_temp_c,wind_speed_kmph,risk_score
F0000,6,5.03,1,8,28.82,21.4,10.2,100
F0001,19,7.42,0,23,15.88,20.0,24.8,42
F0002,14,1.04,1,6,29.33,19.2,17.7,91
F0003,10,7.83,0,6,22.84,34.0,23.8,87
F0004,7,4.44,0,22,5.27,21.6,5.3,14
F0005,6,6.06,1,18,14.57,36.3,10.8,50
F0006,18,6.75,0,17,21.69,37.3,14.8,48
F0007,10,6.03,1,12,7.8,28.1,3.8,80
F0008,10,4.75,1,6,19.4,18.3,2.1,96
F0009,3,4.34,0,8,20.16,23.6,17.4,79
F0010,7,6.87,0,19,5.3,33.3,16.8,26
F0011,2,2.44,0,10,17.17,23.4,11.4,59
F0012,1,7.78,0,1,23.26,17.0,13.3,100
F0013,11,5.98,0,13,15.22,27.8,11.6,58
F0014,5,2.4,0,17,0.86,34.4,2.6,12
F0015,1,6.15,0,3,0.77,33.3,9.7,75
F0016,0,4.71,0,8,11.03,19.0,6.1,49
F0017,11,5.95,0,14,27.82,30.5,4.3,48
F0018,11,6.37,1,3,7.25,20.1,24.0,100
F0019,16,1.61,1,16,19.21,20.0,15.8,55
F0020,9,4.54,0,13,7.05,35.1,18.8,48
F0021,15,7.52,0,20,9.99,20.7,9.3,35
F0022,14,3.24,1,24,25.52,21.1,11.0,61
F0023,14,5.16,1,17,22.0,15.0,7.4,66
F0024,18,3.58,1,13,3.31,35.0,4.2,61
F0025,11,4.18,1,6,13.15,33.2,6.1,71
F0026,19,4.84,0,17,1.36,29.4,20.3,27
F0027,2,4.84,0,14,14.69,32.3,17.6,38
F0028,4,2.41,0,17,20.04,18.5,14.6,34
F0029,18,5.79,0,8,4.0,25.5,12.9,59
F0030,6,1.62,0,11,9.02,23.1,23.2,34
F0031,8,1.97,0,20,12.24,17.2,3.7,0
F0032,6,1.02,0,1,27.63,26.2,8.5,77
F0033,17,1.82,1,7,29.8,36.2,10.0,89
F0034,3,4.31,1,21,1.82,15.9,20.0,49
F0035,13,5.24,0,21,22.95,21.7,24.8,38
F0036,17,6.56,1,17,11.47,19.8,7.5,60
F0037,8,1.75,0,10,12.08,20.5,22.1,43
F0038,1,6.96,1,11,22.75,35.9,21.1,83
F0039,19,6.22,0,22,27.59,25.8,7.2,37
F0040,14,3.86,1,9,28.55,25.7,11.2,85
F0041,6,7.53,1,9,17.53,32.5,11.4,100
F0042,11,7.94,0,24,11.04,18.6,24.5,21
F0043,7,2.44,0,5,23.73,26.2,6.2,76
F0044,14,3.65,0,17,7.9,24.9,20.4,22
F0045,2,7.49,0,9,17.14,28.7,9.7,80
